10:58:55:337 -> 
10:59:12:137 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:12:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:12:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:12:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:12:936 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:13:136 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:13:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:13:536 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:13:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:13:936 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:14:136 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:14:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:14:536 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:14:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:14:936 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:15:136 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:15:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:15:536 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:15:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      ECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                    
10:59:15:936 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || R  
